id,course
461,Phay CNC cơ bản
462,Kỹ thuật an toàn
463,Nguyên lý kỹ thuật
464,Vẽ Kỹ thuật
465,Tiếng anh giao tiếp 1
466,Bảo trì hệ thống điện và thiết bị điện
467,Vật liệu điện
468,Cung cấp điện
469,Thực hành nguội
470,Vẽ Điện
471,Nguyên lý kỹ thuật
472,Khí cụ điện
473,Kỹ thuật cảm biến
474,Kỹ thuật an toàn và Bảo hộ lao động
475,Nguyên lý hệ thống rô bốt và điều khiển tự động
476,Nguyên lý kỹ thuật điện điện tử 1
477,Nguyên lý kỹ thuật điện điện tử 2
478,Nguyên lý và vận hành máy điện
479,Thiết kế bằng máy tính để chế tạo
480,Tổ chức và quản lý kỹ thuật vận hành
481,Toán kỹ thuật 1
482,Cấp nguồn và phân phối điện năng
483,Dịch vụ và lắp đặt điện
484,Điều khiển lập trình PLC
485,Đo lường điện
486,Hệ thống vi xử lý cơ bản
487,Kiểm tra và đo lường hệ thống điện điện tử
488,Mạch tuần tự và logic tích hợp
489,Nguyên lý các mạch Analoge
490,Quản trị doanh nghiệp
491,Dự án kỹ thuật
492,Kỹ thuật an toàn
493,Nguyên lý kỹ thuật điện điện tử
494,Quản lý dự án
495,Thiết bị và hệ thống điều khiển
496,Thiết kế analoge
497,Thiết kế kỹ thuật số
498,Toán nâng cao cho kỹ thuật điện điện tử
499,Máy điện
500,Kỹ thuật lắp đặt thiết bị hệ thống điện phân phối
501,Kỹ thuật lắp đặt hệ thống thiết bị điện công nghiệp 
502,Lập trình điều khiển tự động hóa (PLC)
503,Sữa chữa máy điện và hệ thống thiết bị điện công nghiệp
504,Quản lý chất lượng - ISO
505,Đồ án tôt nghiệp
506,Anh văn chuyên nghành điện công nghiệp
507,Kỹ thuật an toàn
508,Nguyên lý kỹ thuật
509,Bảo trì hệ thống điện và thiết bị điện
510,Tổ chức và quản lý hoạt động kỹ thuật
511,Nguyên lý hệ thống rô bốt và điều khiển tự động bằng máy tính
512,Nguyên lý kỹ thuật điện và điện tử 1
513,Toán kỹ thuật
514,Nguyên lý kỹ thuật điện và điện tử 2
515,Thiết kế trên máy tính để chế tạo
516,Nguyên lý và vận hành máy điện
517,Dịch vụ và lắp đặt điện
518,Cung cấp và phân phối điện năng
519,Kiểm tra và đo lường hệ thống điện điện tử
520,Lập trình điều khiển tự động hóa PLC cơ bản và nâng cao
521,Nguyên lý các mạch tương tự
522,Mạch tuần tự và logic tích hợp
523,Hệ thống vi xử lý cơ bản
524,Toán nâng cao cho kỹ thuật điện điện tử
525,Nguyên lý kỹ thuật điện điện tử nâng cao
526,Dự án kỹ thuật
527,Quản lý dự án
528,Thiết bị và hệ thống điều khiển
529,Thiết kế mạch kỹ thuật số
530,Thiết kế mạch tương tự
531,Quản trị doanh nghiệp
532,Thực tập tốt nghiệp/Đồ án tốt nghiệp
533,Vẽ Kỹ thuật
534,Tiếng anh giao tiếp 1
535,Bảo trì hệ thống điện và thiết bị điện
536,Vật liệu điện
537,Thực hành nguội
538,Vẽ Điện
539,Nguyên lý kỹ thuật
540,Khí cụ điện
541,Kỹ thuật cảm biến
542,Kỹ thuật an toàn và Bảo hộ lao động
543,Nguyên lý hệ thống rô bốt và điều khiển tự động
544,Nguyên lý kỹ thuật điện điện tử 1
545,Nguyên lý kỹ thuật điện điện tử 2
546,Nguyên lý và vận hành máy điện
547,Thiết kế bằng máy tính để chế tạo
548,Tổ chức và quản lý kỹ thuật vận hành
549,Toán kỹ thuật 1
550,Cấp nguồn và phân phối điện năng
551,Dịch vụ và lắp đặt điện
552,Điều khiển lập trình PLC
553,Đo lường điện
554,Hệ thống vi xử lý cơ bản
555,Kiểm tra và đo lường hệ thống điện điện tử
556,Mạch tuần tự và logic tích hợp
557,Nguyên lý các mạch Analoge
558,Quản trị doanh nghiệp
559,Dự án kỹ thuật
560,Kỹ thuật an toàn
561,Nguyên lý kỹ thuật điện điện tử
562,Quản lý dự án
563,Thiết bị và hệ thống điều khiển
564,Thiết kế analoge
565,Thiết kế kỹ thuật số
566,Toán nâng cao cho kỹ thuật điện điện tử
567,Cơ sở kỹ thuật tự động hóa
568,Máy điện
569,Lắp đặt thiết bị hệ thống phân phối và thiết bị hệ thống điều khiển điện công nghiệp
570,Lắp đặt hệ thống thiết bị điều khiển tự động
571,Điều khiển tự động hóa (PLC)
572,Mạng truyền thông công nghiệp
573,Quản lý chất lượng - ISO
574,Đồ án tôt nghiệp
575,Anh văn chuyên ngành lắp đặt điện và tự động hóa
576,Hệ thống sản xuất linh hoạt 
577,Kinh tế học và Xã hội học
578,Giáo dục chính trị
579,Ngoại ngữ chuyên ngành 1
580,Sản xuất chế tạo cấu kiện bằng dụng cụ gia công bằng tay
581,Sản xuất chế tạo cấu kiện bằng máy móc
582,Sản xuất các cấu kiện đơn giản
583,Bảo trì hệ thống kỹ thuật
584,Sản xuất các chi tiết tiện và phay
585,Lập trình và chế tạo trên máy công cụ điều khiển số
586,Sản xuất các hệ thống thành phần về kỹ thuật
587,Lập kế hoạch và vận hành các hệ thống kỹ thuật điều khiển
588,Giữ ổn định các cấu kiện chức năng
589,Gia công chính xác bề mặt
